sample,q1,q2,q3,q4,q5,q6
0,1.6400067978213143e-23,-1.0622698340916661e-06,9.410690995576636e-07,9.718459669747122e-22,-7.000147203701427e-06,-8.709292572635649e-22
1,-9.957893883862236e-05,0.0006634154183780145,0.0016838370275080482,3.286272091822121e-08,-0.0010099882067237114,2.4895760647104627e-08
2,-0.00039250827551119363,0.0026080040865268917,0.006624221831308853,2.355626317889212e-07,-0.00397598832960928,-6.383384871922316e-08
3,-0.000870479636526452,0.005750629424987737,0.014642897119929792,8.204758524548473e-07,-0.008823519723966673,-5.369686235435011e-07
4,-0.001525651740575685,0.009998336663843137,0.025538893819359244,2.148675807964067e-06,-0.015445130226109618,-1.7542140444018688e-06
5,-0.00235057733370452,0.01525005701547524,0.0391002081657243,4.674790342954167e-06,-0.023729995630479003,-4.168483360130295e-06
6,-0.0033381262587374476,0.021398997513005367,0.05510796592146904,8.92966469071407e-06,-0.033566088776674066,-8.30791274954004e-06
7,-0.004481413089244395,0.02833491685954829,0.07334021646073141,1.5508961916411522e-05,-0.04484170765034997,-1.476323563563377e-05
8,-0.005773728939663448,0.03594613014645843,0.09357526354375853,2.5059952521754565e-05,-0.057446808205189465,-2.4172818085468775e-05
9,-0.007208476976648251,0.044121209833705384,0.1155944555063899,3.826464390670438e-05,-0.07127410112985334,-3.720337520626201e-05
10,-0.008779110981568996,0.0527503775042354,0.13918440921247235,5.583444039853031e-05,-0.08621989201237475,-5.4541610630997296e-05
11,-0.010479076661759625,0.061726602331366794,0.16413868421798827,7.850257814901895e-05,-0.10218466476274897,-7.688322289019098e-05
12,-0.012301755492796702,0.07094643752032682,0.19025895358757372,0.00010701290742740539,-0.1190734225609187,-0.00010491768911765548
13,-0.014240411271182422,0.08031063504504943,0.2173557363316028,0.00014209769771707118,-0.13679581133359034,-0.00013930205251891267
14,-0.016288137627353302,0.08972458309110166,0.24524876465671389,0.00018449396419012556,-0.1552660547991756,-0.0001806728282077598
15,-0.018437809041164415,0.09909861097323194,0.2737670593489265,0.00023491185116933508,-0.17440272808832658,-0.0002296104854941154
16,-0.020682032768314124,0.10834820349735819,0.30274878354529466,0.00029403949358947475,-0.19412840061002196,-0.00028664028975801945
17,-0.02301310433392364,0.11739416297996509,0.33204093624652065,0.00036251594131207526,-0.21436916929242708,-0.00035220261591142714
18,-0.02542296350092002,0.12616275183329703,0.36149893941214556,0.0004409436050008037,-0.23505410503393562,-0.00042666251583251897
19,-0.027903155596609237,0.1345858435892541,0.3909861623596238,0.0005298497829259963,-0.25611462715645555,-0.0005102709518637102
20,-0.030444793535453662,0.14260110474625592,0.42037341918251125,0.0006296921919575477,-0.27748382002450517,-0.0006031703753731468
21,-0.03303852530719661,0.1501522246098908,0.4495384665273183,0.0007408316362929637,-0.299095701628022,-0.0007053703745758114
22,-0.03567450436867598,0.15718920503417524,0.47836552257189974,0.0008635226739945361,-0.32088445366656326,-0.0008167427581552289
23,-0.038342365619689914,0.16366871665860028,0.5067448214960673,0.000997891287312073,-0.34278362033327536,-0.0009370071090291488
24,-0.041031207020028694,0.16955452270468716,0.5345722129622793,0.0011439101089508693,-0.3647252845681567,-0.0010657169073535345
25,-0.04372957595406488,0.17481796530207797,0.5617488112597128,0.0013013871673957372,-0.3866392315880729,-0.001202261946710013
26,-0.04642546330461946,0.1794385029811652,0.5881806945969228,0.0014699417695399303,-0.4084521111650548,-0.0013458620290605003
27,-0.04910630566390734,0.18340428071747186,0.6137786512278011,0.001648974399472036,-0.4300866139739522,-0.0014955591258955785
28,-0.05175899340302017,0.18671270620112013,0.6384579653740567,0.001837656059778502,-0.4514606813916769,-0.0016502310418021182
29,-0.05436988902354249,0.18937099790619982,0.66213823214524,0.0020349013677345776,-0.47248677206382517,-0.0018085937003418332
30,-0.05692485258164196,0.19139666241263975,0.6847431871489088,0.002239357666350071,-0.49307121317081093,-0.0019692205236240615
31,-0.05940927752520188,0.192817850162611,0.7062005331591199,0.0024493850944033017,-0.5131136704562594,-0.0021305553328950463
32,-0.06180813315548844,0.1936735331508321,0.7264417425670191,0.0026630581443261242,-0.5325067699829166,-0.0022909445208346563
33,-0.06410601748283447,0.1940134419019034,0.7454018123317353,0.00287815988931451,-0.5511359130401647,-0.002448660744507946
34,-0.06628721810485041,0.1938976981718866,0.7630189457635027,0.0030921864536233154,-0.568879320782264,-0.0026019314064286846
35,-0.06833577859041397,0.19339608107189862,0.7792341350534489,0.0033023749021447533,-0.5856083453701566,-0.002748980071257267
36,-0.07023557419948484,0.1925868709441412,0.7939906191236412,0.0035057264702787467,-0.6011880774603028,-0.0028880536900268653
37,-0.0719703923370734,0.19155522660254487,0.807233194115841,0.0036990521453276397,-0.6154782720390182,-0.0030174557068790545
38,-0.07352401929948024,0.19039106802507488,0.8189073586265238,0.003879026994379319,-0.6283346034925924,-0.0031355709721096266
39,-0.07488033178700065,0.18918645888262628,0.8289582824187459,0.004042259383426539,-0.6396102436646681,-0.0032408856273901466
40,-0.07602339391597669,0.18803250854236137,0.8373295964344263,0.004185368276111396,-0.6491577424054887,-0.003331996045810974
41,-0.07693755788882856,0.18701584253671805,0.8439620121981387,0.0043050766778704045,-0.6568311701322134,-0.0034076142426323407
42,-0.07760759893592602,0.18621478762079655,0.8487918260443847,0.004398071740841381,-0.6624883724775267,-0.0034663404238738046
43,-0.07801873928655087,0.18569492754356387,0.8517490919584908,0.004461975609402226,-0.6659938676001602,-0.0035075086372339886
44,-0.07815682454227295,0.18550547741307818,0.8527562245339029,0.004494367158912697,-0.6672205531360853,-0.0035299987384297365
