param,value,ik_rate_pct
position_weight,3.0,98.0
position_weight,7.5,100.0
position_weight,15.0,100.0
position_weight,30.0,100.0
orientation_weight,0.1,100.0
orientation_weight,0.45,100.0
orientation_weight,0.9,100.0
orientation_weight,1.8,98.0
orientation_weight,3.6,98.0
tilt_barrier_weight,5.0,100.0
tilt_barrier_weight,10.0,100.0
tilt_barrier_weight,18.0,100.0
tilt_barrier_weight,36.0,100.0
tilt_barrier_weight,72.0,100.0
continuity_weight,0.01,100.0
continuity_weight,0.04,100.0
continuity_weight,0.08,100.0
continuity_weight,0.16,100.0
continuity_weight,0.32,100.0
limit_weight,0.005,100.0
limit_weight,0.0125,100.0
limit_weight,0.025,100.0
limit_weight,0.05,100.0
limit_weight,0.1,100.0
